1,64,123
2,60,130
3,61,131
4,64,131
5,64,131
6,60,131
7,60,131
8,63,132
9,63,133
10,67,134
11,69,134
12,67,134
13,70,135
14,67,135
15,72,135
16,69,136
17,71,136
18,71,136
19,69,136
20,73,136
21,73,136
22,69,138
23,73,135
24,70,137
25,74,137
26,70,137
27,74,137
28,70,137
29,74,137
30,73,138
31,73,137
32,71,136
33,72,136
34,69,136
35,69,136
36,68,132
37,68,136
38,70,136
39,69,135
40,70,135
41,70,135
42,69,132
43,68,135
44,65,134
45,69,135
46,69,135
47,69,133
48,64,134
53,68,133
54,68,133
55,67,134
56,63,133
57,68,133
58,63,133
62,67,133
63,67,133
